"","tessera"
"1249",46020
"1250",46066
"1251",46068
"1252",46070
"1253",46073
"1254",46079
"1255",46089
"1256",46103
"1257",46107
"1258",46111
"1259",46117
"1260",46147
"1261",46150
"1262",46158
"1263",46162
"1264",46194
"1265",46209
"1266",46216
"1267",46222
"1268",46236
"1269",46251
"1270",46256
"1271",46316
"1272",46336
"1273",46360
"1274",46372
"1275",46379
"1276",46404
"1277",46413
"1278",46439
"1279",46446
"1280",46450
"1281",46461
"1282",46495
"1283",46507
"1284",46508
"1285",46510
"1286",46538
"1287",46549
"1288",46554
"1289",46560
"1290",46566
"1291",46568
"1292",46569
"1293",46611
"1294",46662
"1295",46671
"1296",46673
"1297",46682
"1298",46699
"1299",46726
"1300",46728
"1301",46735
"1302",46751
"1303",46774
"1304",46822
"1305",46823
"1306",46825
"1307",46831
"1308",46879
"1309",46913
"1310",46927
"1311",46928
"1312",46943
"1313",46945
"1314",46986
"1315",46987
"1316",46989
"1317",46992
"1318",46993
"1319",47002
"1320",47005
"1321",47006
"1322",47011
"1323",47012
"1324",47013
"1325",47019
"1326",47022
"1327",47024
"1328",47043
"1329",47057
"1330",47067
"1331",47080
"1332",47095
"1333",47099
"1334",47116
"1335",47120
"1336",47121
"1337",47136
"1338",47137
"1339",47146
"1340",47171
"1341",47218
"1342",47226
"1343",47227
"1344",47254
"1345",47256
"1346",47257
"1347",47258
"1348",47278
"1349",47309
"1350",47327
"1351",47342
"1352",47360
"1353",47373
"1354",47376
"1355",47393
"1356",47397
"1357",47416
"1358",47433
"1359",47439
"1360",47442
"1361",47446
"1362",47457
"1363",47494
"1364",47525
"1365",47529
"1366",47531
"1367",47544
"1368",47554
"1369",47570
"1370",47571
"1371",47589
"1372",47600
"1373",47610
"1374",47613
"1375",47617
"1376",47646
"1377",47650
"1378",47657
"1379",47658
"1380",47662
"1381",47664
"1382",47671
"1383",47677
"1384",47678
"1385",47680
"1386",47697
"1387",47713
"1388",47717
"1389",47729
"1390",47730
"1391",47731
"1392",47748
"1393",47767
"1394",47770
"1395",47771
"1396",47782
"1397",47805
"1398",47806
"1399",47808
"1400",47809
"1401",47811
"1402",47816
"1403",47817
"1404",47821
"1405",47833
"1406",47834
"1407",47835
"1408",47838
"1409",47839
"1410",47871
"1411",47872
"1412",47873
"1413",47876
"1414",47877
"1415",47883
"1416",47885
"1417",47919
"1418",47942
"1419",47945
"1420",47955
"1421",47966
"1422",47968
"1423",47974
"1424",48010
"1425",48013
"1426",48020
"1427",48023
"1428",48032
"1429",48033
"1430",48034
"1431",48043
"1432",48049
"1433",48066
"1434",48069
"1435",48090
"1436",48110
"1437",48134
"1438",48153
"1439",48168
"1440",48171
"1441",48175
"1442",48177
"1443",48178
"1444",48180
"1445",48182
"1446",48197
"1447",48211
"1448",48230
"1449",48243
"1450",48366
"1451",48369
"1452",48390
"1453",48403
"1454",48420
"1455",48422
"1456",48437
"1457",48453
"1458",48461
"1459",48472
"1460",48476
"1461",48485
"1462",48487
"1463",48492
"1464",48498
"1465",48504
"1466",48507
"1467",48509
"1468",48511
"1469",48517
"1470",48522
"1471",48541
"1472",48614
"1473",48615
"1474",48616
"1475",48630
"1476",48632
"1477",48638
"1478",48651
"1479",48654
"1480",48675
"1481",48687
"1482",48688
"1483",48696
"1484",48770
"1485",48774
"1486",48775
"1487",48779
"1488",48783
"1489",48789
"1490",48790
"1491",48827
"1492",48833
"1493",48885
"1494",48886
"1495",48887
"1496",48888
"1497",48894
"1498",48909
"1499",48928
"1500",48931
"1501",48969
"1502",48971
"1503",48973
"1504",48983
"1505",48985
"1506",48988
"1507",48991
"1508",48992
"1509",48994
"1510",49004
"1511",49018
"1512",49097
"1513",49111
"1514",49118
"1515",49133
"1516",49139
"1517",49143
"1518",49154
"1519",49166
"1520",49186
"1521",49194
"1522",49197
"1523",49201
"1524",49206
"1525",49306
"1526",49330
"1527",49335
"1528",49336
"1529",49356
"1530",49371
"1531",49374
"1532",49375
"1533",49386
"1534",49404
"1535",49411
"1536",49413
"1537",49414
"1538",49416
"1539",49427
"1540",49433
"1541",49442
"1542",49458
"1543",49459
"1544",49461
"1545",49467
"1546",49472
"1547",49476
"1548",49482
"1549",49484
"1550",49485
"1551",49490
"1552",49499
"1553",49503
"1554",49505
"1555",49515
"1556",49542
"1557",49543
"1558",49544
"1559",49549
"1560",49593
"1561",49600
"1562",49607
"1563",49608
"1564",49612
"1565",49632
"1566",49633
"1567",49637
"1568",49640
"1569",49676
"1570",49686
"1571",49696
"1572",49707
"1573",49708
"1574",49729
"1575",49730
"1576",49733
"1577",49735
"1578",49746
"1579",49750
"1580",49751
"1581",49754
"1582",49760
"1583",49768
"1584",49773
"1585",49778
"1586",49808
"1587",49810
"1588",49876
"1589",49877
"1590",49882
"1591",49890
"1592",49963
"1593",49973
"1594",49975
"1595",49988
"1596",49998
"1597",50028
"1598",50036
"1599",50084
"1600",50085
"1601",50102
"1602",50107
"1603",50112
"1604",50151
"1605",50158
"1606",50187
"1607",50188
"1608",50191
"1609",50193
"1610",50212
"1611",50228
"1612",50234
"1613",50242
"1614",50243
"1615",50246
"1616",50248
"1617",50261
"1618",50265
"1619",50267
"1620",50276
"1621",50277
"1622",50291
"1623",50292
"1624",50293
"1625",50332
"1626",50337
"1627",50343
"1628",50355
"1629",50356
"1630",50380
"1631",50395
"1632",50406
"1633",50415
"1634",50426
"1635",50428
"1636",50459
"1637",50472
"1638",50476
"1639",50510
"1640",50533
"1641",50547
"1642",50549
"1643",50564
"1644",50567
"1645",50571
"1646",50572
"1647",50601
"1648",50604
"1649",50611
"1650",50630
"1651",50638
"1652",50648
"1653",50649
"1654",50664
"1655",50671
"1656",50681
"1657",50693
"1658",50700
"1659",50770
"1660",50787
"1661",50792
"1662",50809
"1663",50880
"1664",50881
"1665",50882
"1666",50885
"1667",50896
"1668",50910
"1669",50912
"1670",50930
"1671",50931
"1672",50960
"1673",50962
"1674",50979
"1675",51007
"1676",51010
"1677",51012
"1678",51021
"1679",51035
"1680",51048
"1681",51049
"1682",51059
"1683",51170
"1684",51178
"1685",51180
"1686",51186
"1687",51224
"1688",51225
"1689",51231
"1690",51244
"1691",51247
"1692",51257
"1693",51262
"1694",51267
"1695",51270
"1696",51278
"1697",51281
"1698",51282
"1699",51314
"1700",51316
"1701",51321
"1702",51322
"1703",51334
"1704",51336
"1705",51337
"1706",51338
"1707",51345
"1708",51353
"1709",51354
"1710",51355
"1711",51356
"1712",51357
"1713",51361
"1714",51370
"1715",51377
"1716",51381
"1717",51382
"1718",51390
"1719",51393
"1720",51395
"1721",51399
"1722",51402
"1723",51409
"1724",51410
"1725",51411
"1726",51413
"1727",51423
"1728",51441
"1729",51443
"1730",51477
"1731",51481
"1732",51518
"1733",51521
"1734",51533
"1735",51536
"1736",51552
"1737",51555
"1738",51559
"1739",51560
"1740",51569
"1741",51571
"1742",51575
"1743",51578
"1744",51586
"1745",51588
"1746",51593
"1747",51609
"1748",51618
"1749",51623
"1750",51628
"1751",51629
"1752",51635
"1753",51636
"1754",51645
"1755",51659
"1756",51684
"1757",51686
"1758",51688
"1759",51711
"1760",51726
"1761",51745
"1762",51749
"1763",51767
"1764",51776
"1765",51846
"1766",51848
"1767",51851
"1768",51862
"1769",51874
"1770",51878
"1771",51892
"1772",51903
"1773",51907
"1774",51908
"1775",51949
"1776",51966
"1777",51968
"1778",51998
"1779",52001
"1780",52006
"1781",52009
"1782",52010
"1783",52028
"1784",52059
"1785",52082
"1786",52085
"1787",52108
"1788",52112
"1789",52115
"1790",52131
"1791",52136
"1792",52145
"1793",52146
"1794",52249
"1795",52251
"1796",52253
"1797",52255
"1798",52266
"1799",52272
"1800",52285
"1801",52287
"1802",52299
"1803",52301
"1804",52311
"1805",52313
"1806",52332
"1807",52333
"1808",52334
"1809",52341
"1810",52342
"1811",52362
"1812",52372
"1813",52386
"1814",52392
"1815",52404
"1816",52445
"1817",52458
"1818",52459
"1819",52461
"1820",52462
"1821",52464
"1822",52495
"1823",52498
"1824",52508
"1825",52520
"1826",52530
"1827",52533
"1828",52546
"1829",52568
"1830",52575
"1831",52583
"1832",52584
"1833",52589
"1834",52594
"1835",52598
"1836",52611
"1837",52632
"1838",52661
"1839",52697
"1840",52702
"1841",52705
"1842",52706
"1843",52724
"1844",52725
"1845",52737
"1846",52744
"1847",52746
"1848",52751
"1849",52752
"1850",52753
"1851",52754
"1852",52757
"1853",52760
"1854",52761
"1855",52782
"1856",52783
"1857",52790
"1858",52791
"1859",52794
"1860",52806
"1861",52822
"1862",52824
"1863",52877
"1864",52905
"1865",52940
"1866",52944
"1867",52945
"1868",52946
"1869",52948
"1870",52959
"1871",52960
"1872",52967
"1873",52971
"1874",52976
"1875",52983
"1876",52990
"1877",52991
"1878",52994
"1879",52997
"1880",53015
"1881",53069
"1882",53080
"1883",53081
"1884",53084
"1885",53085
"1886",53087
"1887",53088
"1888",53145
"1889",53147
"1890",53152
"1891",53163
"1892",53167
"1893",53192
"1894",53195
"1895",53197
"1896",53200
"1897",53202
"1898",53205
"1899",53211
"1900",53214
"1901",53227
"1902",53239
"1903",53247
"1904",53271
"1905",53272
"1906",53276
"1907",53282
"1908",53284
"1909",53296
"1910",53312
"1911",53313
"1912",53318
"1913",53324
"1914",53327
"1915",53331
"1916",53333
"1917",53335
"1918",53336
"1919",53338
"1920",53339
"1921",53341
"1922",53342
"1923",53344
"1924",53345
"1925",53346
"1926",53347
"1927",53348
"1928",53351
"1929",53355
"1930",53380
"1931",53381
"1932",53383
"1933",53388
"1934",53404
"1935",53405
"1936",53407
"1937",53415
"1938",53417
"1939",53421
"1940",53455
"1941",53459
"1942",53460
"1943",53465
"1944",53470
"1945",53477
"1946",53494
"1947",53515
"1948",53523
"1949",53550
"1950",53553
"1951",53589
"1952",53593
"1953",53594
"1954",53595
"1955",53604
"1956",53662
"1957",53666
"1958",53668
"1959",53669
"1960",53670
"1961",53699
"1962",53720
"1963",53722
"1964",53723
"1965",53729
"1966",53743
"1967",53752
"1968",53753
"1969",53754
"1970",53755
"1971",53757
"1972",53759
"1973",53766
"1974",53770
"1975",53772
"1976",53773
"1977",53774
"1978",53776
"1979",53777
"1980",53781
"1981",53783
"1982",53785
"1983",53794
"1984",53795
"1985",53808
"1986",53811
"1987",53813
"1988",53814
"1989",53819
"1990",53830
"1991",53834
"1992",53840
"1993",53856
"1994",53862
"1995",53863
"1996",53873
"1997",53893
"1998",53903
"1999",53905
"2000",53908
"2001",53921
"2002",53925
"2003",53926
"2004",53928
"2005",53938
"2006",53939
"2007",53945
"2008",53949
"2009",53955
"2010",53956
"2011",54017
"2012",54020
"2013",54021
"2014",54024
"2015",54031
"2016",54033
"2017",54035
"2018",54039
"2019",54042
"2020",54045
"2021",54046
"2022",54080
"2023",54084
"2024",54085
"2025",54096
"2026",54107
"2027",54110
"2028",54111
"2029",54125
"2030",54126
"2031",54127
"2032",54128
"2033",54135
"2034",54141
"2035",54143
"2036",54150
"2037",54152
"2038",54155
"2039",54161
"2040",54169
"2041",54171
"2042",54180
"2043",54181
"2044",54204
"2045",54217
"2046",54228
"2047",54248
"2048",54252
"2049",54266
"2050",54273
"2051",54276
"2052",54280
"2053",54298
"2054",54301
"2055",54303
"2056",54304
"2057",54309
"2058",54310
"2059",54343
"2060",54348
"2061",54352
"2062",54359
"2063",54361
"2064",54375
"2065",54376
"2066",54381
"2067",54384
"2068",54386
"2069",54390
"2070",54397
"2071",54398
"2072",54410
"2073",54427
"2074",54458
"2075",54459
"2076",54466
"2077",54491
"2078",54494
"2079",54495
"2080",54515
"2081",54520
"2082",54523
"2083",54524
"2084",54528
"2085",54540
"2086",54543
"2087",54554
"2088",54574
"2089",54579
"2090",54592
"2091",54617
"2092",54641
"2093",54649
"2094",54651
"2095",54652
"2096",54656
"2097",54662
"2098",54665
"2099",54692
"2100",54693
"2101",54706
"2102",54707
"2103",54739
"2104",54741
"2105",54762
"2106",54771
"2107",54773
"2108",54779
"2109",54780
"2110",54782
"2111",54788
"2112",54789
"2113",54800
"2114",54801
"2115",54802
"2116",54804
"2117",54805
"2118",54806
"2119",54811
"2120",54815
"2121",54816
"2122",54824
"2123",54830
"2124",54842
"2125",54854
"2126",54869
"2127",54889
"2128",54896
"2129",54924
"2130",54975
"2131",54976
"2132",55013
"2133",55015
"2134",55022
"2135",55030
"2136",55054
"2137",55055
"2138",55064
